PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
1630255_at	0.101040616264942	-0.0168651270788744	0.0507537634174384	0.0245838999573528	-0.0182157444318709	-0.0157595881050761	0.0077270574285886	0.258327395811362
1625246_at	0.0805558331626884	0.0100115293090197	0.0844957474995979	0.0271024195342385	-0.00545319075367615	0.00580179003734306	-0.0147280095125448	-0.0349223457703613
1624175_at	0.0446446332022549	0.0101875218440191	0.0387979502506176	0.0259942244892738	0.00776893965206485	-0.00849287555774709	-0.0212652841677522	-0.456109323782217
1638888_at	0.0763699530091549	-0.00891566883495169	0.0519712494680367	0.00540587566038549	-0.00364112321291077	0.00631474903573025	-0.02259964262504	0.440949462854692
1636826_at	0.0765561032378453	0.0281753609493672	0.0774373705429381	0.0167574268977721	-0.0021280937891854	0.00376557825768464	-0.0336390341574346	0.0137263237984928
1632524_at	0.0534021057156955	-0.00278702287300591	0.0383586028742439	0.0345822647820959	-0.00923609961040995	0.00267477857584731	0.00241603143069656	-0.00174507521025674
1638324_s_at	0.0509694613485339	-0.00558648222872055	0.0351236751051756	0.0225913639115138	-0.0189956562070324	0.0246941917925409	0.00686273210262139	0.166254336286243
1641738_a_at	0.0236988627434054	0.00686397643279771	0.0205626402031518	-0.000184842540815861	0.00575552798338158	0.00853017469134969	-0.00578764032391373	-0.00880281714691799
1632868_a_at	0.0305806526113586	0.00296982480061926	0.0387688003418999	0.0037123226847493	0.00376437535740776	-0.0030385917108317	-0.0110970094034616	-0.00752084469080272
1623632_s_at	0.0429596046742581	0.00303408737600796	0.0442386481719515	0.0255789234261542	-0.00160385759948514	0.0156912426221934	-0.00723818232224252	0.00208829141286361
1625471_s_at	0.0580674156210147	0.0115580199109891	0.0460510057952947	0.0207183663970011	0.00149800160739154	0.0200767137199874	-0.0155824900128602	0.00420230725544203
1633345_at	0.0476479746900849	0.00170673534007367	0.0401344762289741	0.00535403506849026	0.00247759500579695	-0.00294281474746708	-0.00737629808752576	-0.00248833176366334
1623697_s_at	-0.0532593643660969	0.0126673632148081	-0.0905001949149073	-0.0597833291496013	-0.0185956896204386	-0.0063184059678116	0.0340122908323646	0.00793081377312278
1640207_at	-0.0373636564936893	-0.00449238768809971	-0.0370725413710411	-0.00770614793931846	-0.0259742035312418	0.0103689386078818	0.0144956018608145	0.00562715054339913
1637813_at	0.0699542526631272	0.0144575715614007	0.0452649793013079	0.0278351918978517	-0.00377458741057092	0.00221301876541656	-0.0189548986439742	-0.000384348827957201
1625439_at	0.0347143097167228	0.000708824287798438	0.045876229501427	0.00363843825886353	-0.0150929371854138	-0.00039455368385108	-0.00838664889913886	-0.00941015397353416
1637292_at	0.0580321502153083	-0.0078375143003692	0.0267340161425765	-0.0122083680168624	-0.0110261018878862	-0.0193080910618429	0.000492196124617271	-0.000535443899095825
1625594_s_at	0.031485343250658	0.00290584033791587	0.0257431194875589	0.018093660391885	0.0102999100667487	-0.00736959391970963	0.0102187879310169	-0.000154792938144091
1624357_at	-0.0496595069736372	-0.0074227582652465	-0.0263397253040377	-0.014759776049407	0.0117900274195661	-0.0133031742251352	0.019373527419076	0.0150275628410551
1625178_at	-0.028289659941755	0.00358195955979693	-0.0157424457950031	0.0151661145051105	0.00459265226696397	-0.00386893335911294	-0.00632983253823625	-0.00437610523812405
1628247_at	0.0396869751189457	0.0112383158434814	0.0699171310084184	0.0236544037664125	0.00666633392654187	-0.00863370450066292	-0.00238324609566888	-0.000251573090631181
1631027_at	0.0198829252662491	0.00506691873445109	0.0155326008754782	-0.000394313340748767	0.00418181447352105	-0.00710037555246045	-0.0111832715821039	-0.00594070984291895
1634465_a_at	0.0233802197734968	-0.00952099267546699	0.00967890599560433	0.0104903833487744	0.00770082524819478	0.011834287963365	-0.00940591259249942	-0.00633249414896554
1628146_at	0.0474731229923916	-0.0223601965769345	0.00958837719731664	0.00739871106369305	-0.00725307814020542	-0.0395454402128931	0.0100939562730635	-0.00882716302110116
1640383_at	0.0304263576581063	0.011434231639424	0.0386022857627392	0.00250270733579297	-0.0136246838599916	0.000927774353583579	-0.0195884255242597	-0.00303841321660132
1641305_at	0.0460770002138355	0.0196407472959593	0.0422760524671957	0.00794816805814196	-0.0103316621703151	-0.0082574301595678	-0.00787460790214389	-0.00851855635644568
1635238_s_at	-0.0154116212361649	0.00340330290828275	-0.00929853643091409	-0.00534818618304623	0.00035886274412804	-0.000236421970361713	0.00619279188475478	-0.00295501973189536
1626839_s_at	0.0330159227530913	-0.00469437038829954	0.0136494663736448	0.00727681449078157	-0.00490673016860661	0.00557306727510804	0.00571217572213088	0.00220315327906054
1629318_at	0.0504604847372991	0.0180975694084202	0.0497891724454617	0.00445585183122235	-0.0254177564720936	0.00136429739103628	-0.00836930362836207	0.00250709075607899
